,um_id,userid,name,movieid
3798,1238453223,12384,sevenevermore,53223
3799,1238551038,12385,刘刘刘,51038
3800,1238651464,12386,158****0900,51464
3801,1238651042,12386,158****0900,51042
3802,1238751044,12387,爱礼丝,51044
3803,1238751412,12387,爱礼丝,51412
3804,1238853619,12388,非如此不可,53619
3805,1238951846,12389,小豆点,51846
3806,1238952973,12389,小豆点,52973
3807,1239452424,12394,soong,52424
3808,1239751087,12397,叶皖,51087
3809,1239852319,12398,cht.,52319
3810,1239853064,12398,cht.,53064
3811,1239951481,12399,彩妮酱,51481
3812,1239951784,12399,彩妮酱,51784
3813,1240251281,12402,无与伦比,51281
3814,1240253474,12402,无与伦比,53474
3815,1240451061,12404,萨西摩尔*,51061
3816,1241151825,12411,小青瓦,51825
3817,1241152920,12411,小青瓦,52920
3818,1241351742,12413,相葉氏,51742
3819,1241451068,12414,潇湘墨,51068
3820,1241752399,12417,癫。,52399
3821,1241751334,12417,癫。,51334
3822,1241851077,12418,＊🍎🍒🍓🧀🍡🍦,51077
3823,1242052574,12420,迅哥儿和猹,52574
3824,1242053747,12420,迅哥儿和猹,53747
3825,1242052996,12420,迅哥儿和猹,52996
3826,1242052827,12420,迅哥儿和猹,52827
3827,1242152065,12421,咸蛋黄,52065
3828,1242152060,12421,咸蛋黄,52060
3829,1242452063,12424,山山君就是我,52063
3830,1242453933,12424,山山君就是我,53933
3831,1242551848,12425,阿星,51848
